,S,G
DF,"(0.03, 0.86)","(22.8, 32.6)"
DF+FC,"(0.0, 0.47)","(16.8, 22.4)"
DF+RG,"(0.53, 1.0)","(20.0, 25.8)"
DH,"(0.0, 0.0)","(4.9, 8.9)"
FC,"(0.0, 0.14)","(14.1, 16.7)"
FC+DH,"(0.0, 0.26)","(9.4, 13.6)"
MF,"(0.78, 1.0)","(4.4, 11.1)"
MF+DH,"(0.69, 1.0)","(4.8, 13.2)"
MF+FC,"(0.0, 0.45)","(6.6, 16.5)"
MF+RF,"(0.59, 1.0)","(12.3, 20.4)"
PP,"(0.36, 0.58)","(44.1, 64.5)"
PP+DF,"(0.21, 0.68)","(32.4, 42.8)"
RG,"(0.91, 1.0)","(14.7, 21.7)"
RG+FC,"(0.22, 0.76)","(13.5, 19.7)"
MM,"(0.78, 1.0)","(4.4, 11.1)"
